一级学科代码,一级学科名称,评估结果,学校名称1,学校名称2,学校名称3,学校名称4,学校名称5,学校名称6,学校名称7,学校名称8,学校名称9,学校名称10,学校名称11,学校名称12,学校名称13,学校名称14,学校名称15,学校名称16,学校名称17,学校名称18,学校名称19,学校名称20,学校名称21,学校名称22,学校名称23,学校名称24,学校名称25,学校名称26,学校名称27
305,马克思主义理论,C+,北京理工大学,河北工业大学,山西师范大学,哈尔滨工业大学,东北林业大学,华东政法大学,浙江理工大学,杭州师范大学,,,,,,,,,,,,,,,,,,,
305,马克思主义理论,C+,浙江工商大学,福州大学,福建农林大学,南昌航空大学,江西财经大学,河南理工大学,河南师范大学,信阳师范学院,武汉工程大学,中南财经政法大学,海南大学,重庆邮电大学,西华大学,重庆师范大学,长安大学,三峡大学,广州大学,,,,,,,,,,
305,马克思主义理论,C,北方工业大学,中央民族大学,华北电力大学,山西财经大学,渤海大学,长春理工大学,北华大学,南通大学,安徽工业大学,赣南师范大学,武汉科技大学,武汉纺织大学,长沙理工大学,深圳大学,广西民族大学,重庆大学,西南石油大学,重庆交通大学,西南科技大学,西华师范大学,西南政法大学,贵州财经大学,云南师范大学,延安大学,,,
305,马克思主义理论,C-,北京化工大学,北京工商大学,中国农业大学,辽宁石油化工大学,沈阳师范大学,长春师范大学,燕山大学,南京财经大学,江西理工大学,,,,,,,,,,,,,,,,,,
305,马克思主义理论,C-,山东财经大学,河南工业大学,河南科技大学,河南农业大学,南华大学,广东财经大学,广西师范学院,成都理工大学,云南财经大学,兰州理工大学,宁波大学,重庆工商大学,,,,,,,,,,,,,,,
401,教育学,A+,北京师范大学,华东师范大学,,,,,,,,,,,,,,,,,,,,,,,,,
401,教育学,A,东北师范大学,南京师范大学,华中师范大学,,,,,,,,,,,,,,,,,,,,,,,,
401,教育学,A-,北京大学,首都师范大学,浙江大学,华南师范大学,西南大学,,,,,,,,,,,,,,,,,,,,,,
401,教育学,B+,清华大学,上海师范大学,浙江师范大学,厦门大学,山东师范大学,河南大学,华中科技大学,湖南师范大学,陕西师范大学,西北师范大学,,,,,,,,,,,,,,,,,
401,教育学,B,北京理工大学,天津大学,天津师范大学,辽宁师范大学,沈阳师范大学,哈尔滨师范大学,江苏师范大学,江西师范大学,广西师范大学,四川师范大学,,,,,,,,,,,,,,,,,
401,教育学,B-,河北大学,苏州大学,杭州师范大学,安黴师范大学,福建师范大学,曲阜师范大学,河南师范大学,重庆师范大学,云南师范大学,新疆师范大学,,,,,,,,,,,,,,,,,
401,教育学,C+,中央民族大学,河北师范大学,山西大学,山西师范大学,内蒙古师范大学,同济大学,江南大学,温州大学,广州大学,宁波大学,,,,,,,,,,,,,,,,,
401,教育学,C,北京工业大学,渤海大学,吉林师范大学,浙江工业大学,赣南师范大学,湖北大学,中南民族大学,贵州师范大学,云南大学,扬州大学,,,,,,,,,,,,,,,,,
401,教育学,C-,天津职业技术师范大学,长春师范大学,江苏大学,淮北师范大学,鲁东大学,湖北师范大学,深圳大学,广西师范学院,石河子大学,海南师范大学,,,,,,,,,,,,,,,,,
402,心理学,A+,北京大学,北京师范大学,华南师范大学,,,,,,,,,,,,,,,,,,,,,,,,
402,心理学,A-,华东师范大学,西南大学,,,,,,,,,,,,,,,,,,,,,,,,,
402,心理学,B+,天津师范大学,南京师范大学,浙江大学,华中师范大学,陕西师范大学,,,,,,,,,,,,,,,,,,,,,,
402,心理学,B,首都师范大学,辽宁师范大学,上海师范大学,山东师范大学,第四军医大学,,,,,,,,,,,,,,,,,,,,,,
402,心理学,B-,东北师范大学,浙江师范大学,江西师范大学,中南大学,湖南师范大学,中山大学,,,,,,,,,,,,,,,,,,,,,
402,心理学,C+,苏州大学,福建师范大学,深圳大学,西北师范大学,,,,,,,,,,,,,,,,,,,,,,,
402,心理学,C,内蒙古师范大学,杭州师范大学,河南大学,贵州师范大学,广州大学,,,,,,,,,,,,,,,,,,,,,,
402,心理学,C-,清华大学,北京体育大学,河北师范大学,吉林大学,安徽医科大学,曲阜师范大学,,,,,,,,,,,,,,,,,,,,,
403,体育学,A+,北京体育大学,上海体育学院,,,,,,,,,,,,,,,,,,,,,,,,,
403,体育学,A,华东师范大学,,,,,,,,,,,,,,,,,,,,,,,,,,
403,体育学,A-,天津体育学院,福建师范大学,武汉体育学院,华南师范大学,成都体育学院,,,,,,,,,,,,,,,,,,,,,,
403,体育学,B+,清华大学,北京师范大学,首都体育学院,沈阳体育学院,苏州大学,浙江大学,华中师范大学,,,,,,,,,,,,,,,,,,,,
403,体育学,B,山西大学,东北师范大学,吉林体育学院,南京师范大学,曲阜师范大学,湖南师范大学,广州体育学院,西安体育学院,,,,,,,,,,,,,,,,,,,
403,体育学,B-,河北师范大学,辽宁师范大学,南京体育学院,山东师范大学,山东体育学院,河南大学,陕西师范大学,宁波大学,,,,,,,,,,,,,,,,,,,
403,体育学,C+,山西师范大学,浙江师范大学,安黴师范大学,江西师范大学,郑州大学,广西师范大学,云南师范大学,西北师范大学,新疆师范大学,扬州大学,,,,,,,,,,,,,,,,,
403,体育学,C,河南师范大学,湖北大学,吉首大学,深圳大学,西南大学,,,,,,,,,,,,,,,,,,,,,,
403,体育学,C-,沈阳师范大学,吉林大学,哈尔滨师范大学,同济大学,,,,,,,,,,,,,,,,,,,,,,,
403,体育学,C-,上海师范大学,江苏师范大学,杭州师范大学,集美大学,,,,,,,,,,,,,,,,,,,,,,,
501,中国语言文学,A+,北京大学,北京师范大学,,,,,,,,,,,,,,,,,,,,,,,,,
501,中国语言文学,A,复旦大学,华东师范大学,南京大学,浙江大学,山东大学,四川大学,,,,,,,,,,,,,,,,,,,,,
501,中国语言文学,A-,中国人民大学,首都师范大学,南开大学,南京师范大学,武汉大学,中山大学,,,,,,,,,,,,,,,,,,,,,
501,中国语言文学,B+,清华大学,北京语言大学,中央民族大学,吉林大学,东北师范大学,上海师范大学,苏州大学,浙江师范大学,福建师范大学,山东师范大学,河南大学,华中师范大学,暨南大学,西南大学,陕西师范大学,,,,,,,,,,,,
501,中国语言文学,B,天津师范大学,河北大学,河北师范大学,内蒙古大学,黑龙江大学,哈尔滨师范大学,上海大学,江苏师范大学,厦门大学,湖南师范大学,华南师范大学,广西师范大学,四川师范大学,西北大学,西北师范大学,扬州大学,,,,,,,,,,,
501,中国语言文学,B-,中国传媒大学,山西大学,辽宁大学,上海交通大学,安徽大学,,,,,,,,,,,,,,,,,,,,,,
501,中国语言文学,B-,安徽师范大学,江西师范大学,曲阜师范大学,华中科技大学,湖北大学,广西民族大学,云南大学,兰州大学,新疆大学,,,,,,,,,,,,,,,,,,
501,中国语言文学,C+,北京外国语大学,内蒙古师范大学,辽宁师范大学,沈阳师范大学,上海外国语大学,杭州师范大学,南昌大学,郑州大学,湘潭大学,重庆师范大学,西南民族大学,贵州师范大学,西北民族大学,新疆师范大学,海南师范大学,,,,,,,,,,,,
501,中国语言文学,C,北京第二外国语学院,吉林师范大学,浙江工业大学,温州大学,华侨大学,中国海洋大学,济南大学,中南民族大学,湖南大学,广西大学,西南交通大学,西华师范大学,云南师范大学,青岛大学,三峡大学,,,,,,,,,,,,
501,中国语言文学,C-,天津外国语大学,渤海大学,延边大学,同济大学,南通大学,鲁东大学,河南师范大学,海南大学,深圳大学,贵州民族大学,云南民族大学,,,,,,,,,,,,,,,,
501,中国语言文学,C-,宁夏大学,广州大学,广东外语外贸大学,,,,,,,,,,,,,,,,,,,,,,,,
502,外国语言文学,A+,北京大学,北京外国语大学,上海外国语大学,,,,,,,,,,,,,,,,,,,,,,,,
502,外国语言文学,A,黑龙江大学,上海交通大学,南京大学,浙江大学,广东外语外贸大学,,,,,,,,,,,,,,,,,,,,,,
502,外国语言文学,A-,清华大学,北京航空航天大学,北京师范大学,对外经济贸易大学,复旦大学,华东师范大学,南京师范大学,山东大学,,,,,,,,,,,,,,,,,,,
502,外国语言文学,B+,中国人民大学,北京语言大学,南开大学,延边大学,东北师范大学,同济大学,苏州大学,厦门大学,武汉大学,湖南大学,湖南师范大学,中山大学,四川大学,西南大学,四川外国语大学,西安外国语大学,,,,,,,,,,,
502,外国语言文学,B,北京科技大学,首都师范大学,北京第二外国语学院,天津外国语大学,大连外国语大学,吉林大学,上海对外经贸大学,杭州师范大学,浙江工商大学,福建师范大学,中国海洋大学,河南大学,华中科技大学,华中师范大学,陕西师范大学,宁波大学,,,,,,,,,,,
502,外国语言文学,B-,北京交通大学,哈尔滨工业大学,,,,,,,,,,,,,,,,,,,,,,,,,
502,外国语言文学,B-,哈尔滨师范大学,上海海事大学,上海大学,浙江师范大学,山东师范大学,曲阜师范大学,郑州大学,暨南大学,华南理工大学,华南师范大学,广西民族大学,重庆大学,西安交通大学,西北师范大学,扬州大学,,,,,,,,,,,,
502,外国语言文学,C+,北京理工大学,中国政法大学,天津师范大学,山西大学,辽宁师范大学,上海师范大学,上海财经大学,南京航空航天大学,中国矿业大学,安徽大学,江西师范大学,河南师范大学,湘潭大学,广西大学,广西师范大学,西南交通大学,四川师范大学,兰州大学,中国石油大学,,,,,,,,
502,外国语言文学,C,北京林业大学,中国传媒大学,河北师范大学,辽宁大学,大连海事大学,上海理工大学,江苏大学,鲁东大学,中国地质大学,湖南科技大学,深圳大学,重庆师范大学,西北大学,青岛大学,国防科技大学,,,,,,,,,,,,
502,外国语言文学,C-,河北大学,,,,,,,,,,,,,,,,,,,,,,,,,,
502,外国语言文学,C-,华北电力大学,内蒙古大学,吉林师范大学,华东理工大学,南京理工大学,江苏师范大学,福州大学,南昌大学,湖北大学,中南财经政法大学,西南政法大学,西南民族大学,云南大学,云南师范大学,宁夏大学,,,,,,,,,,,,
503,新闻传播学,A+,中国人民大学,中国传媒大学,,,,,,,,,,,,,,,,,,,,,,,,,
503,新闻传播学,A,复旦大学,华中科技大学,,,,,,,,,,,,,,,,,,,,,,,,,
503,新闻传播学,A-,清华大学,上海交通大学,武汉大学,暨南大学,,,,,,,,,,,,,,,,,,,,,,,
503,新闻传播学,B+,北京大学,华东师范大学,上海大学,南京大学,南京师范大学,浙江大学,厦门大学,四川大学,,,,,,,,,,,,,,,,,,,
503,新闻传播学,B,河北大学,安徽大学,郑州大学,湖南大学,湖南师范大学,中山大学,深圳大学,陕西师范大学,,,,,,,,,,,,,,,,,,,
503,新闻传播学,B-,上海外国语大学,苏州大学,南昌大学,山东大学,河南大学,华南理工大学,兰州大学,南京政治学院,,,,,,,,,,,,,,,,,,,
503,新闻传播学,C+,北京印刷学院,北京师范大学,北京外国语大学,天津师范大学,辽宁大学,重庆大学,西南政法大学,西北大学,,,,,,,,,,,,,,,,,,,
503,新闻传播学,C,中央民族大学,中国政法大学,吉林大学,同济大学,上海理工大学,汕头大学,广西大学,西安交通大学,,,,,,,,,,,,,,,,,,,
503,新闻传播学,C-,北京工商大学,南开大学,,,,,,,,,,,,,,,,,,,,,,,,,
503,新闻传播学,C-,上海师范大学,安徽师范大学,华中师范大学,西南大学,云南大学,新疆大学,,,,,,,,,,,,,,,,,,,,,
601,考古学,A+,北京大学,西北大学,,,,,,,,,,,,,,,,,,,,,,,,,
601,考古学,A-,吉林大学,,,,,,,,,,,,,,,,,,,,,,,,,,
